language,count
dan,275521
ger,197431
lat,81135
fre,81052
eng,59848
und,51110
swe,26232
nor,14534
ita,12338
dut,11543
mul,6806
heb,5998
ice,4667
spa,4337
rus,2285
   ,1994
cze,1104
chi,1027
tys,926
gre,854
por,828
ara,694
grc,665
pol,629
hun,564
fin,547
kal,442
sve,285
lav,283
per,270
fra,197
fry,189
rum,177
yid,169
san,157
jpn,149
scr,134
tam,130
mis,111
xxx,109
arm,93
non,84
fao,76
ben,70
nob,64
tur,62
lao,61
ota,60
mon,58
chu,53
isl,48
urd,40
scc,39
tut,37
wel,36
bur,33
hin,31
lit,29
pro,28
bul,27
alb,27
enm,25
kor,24
est,23
oci,23
syr,21
may,21
guj,18
gla,16
gem,16
baq,15
mar,15
smi,15
slo,14
lad,14
den,12
ang,12
pli,12
crp,12
geo,11
rom,11
slv,11
afr,11
ukr,10
gez,10
bre,9
pal,9
fro,9
tel,9
roh,9
cat,8
tib,8
frm,8
wen,8
iku,7
gle,7
lap,6
vol,6
gmh,6
esk,6
haw,6
tat,6
mao,5
epo,5
jav,5
inc,4
arc,4
sin,4
tgl,4
sla,4
got,4
oss,4
akk,3
der,3
let,3
swa,3
ton,3
kat,3
mol,3
an|,2
ber,2
ale,2
oji,2
pan,2
egy,2
cop,2
hrv,2
ave,2
mlg,2
goh,2
jrb,2
we ,2
tha,2
zxx,2
ind,2
art,2
ung,1
smo,1
pra,1
hai,1
sam,1
yor,1
nc|,1
her,1
xho,1
che,1
pus,1
ul|,1
cre,1
nic,1
kan,1
r|d,1
alg,1
bos,1
iro,1
jpr,1
glv,1
kro,1
khm,1
 ic,1
n|d,1
div,1
uzb,1
pon,1
iri,1
tum,1
ine,1
kar,1
bel,1
ned,1
mlt,1
new,1
mwr,1
mnc,1
mad,1
srd,1
osa,1
vie,1
twi,1
kur,1
chm,1
